,precision,recall,f1-score,support
0,0.41090555014605645,0.422,0.4163788850518007,1000.0
1,0.42204568023833167,0.425,0.4235176880916791,1000.0
2,0.27546777546777546,0.265,0.2701325178389399,1000.0
3,0.2365482233502538,0.233,0.23476070528967255,1000.0
4,0.331002331002331,0.284,0.30570505920344454,1000.0
5,0.2925170068027211,0.301,0.2966978807294234,1000.0
6,0.38361266294227186,0.412,0.39729990356798456,1000.0
7,0.4253731343283582,0.399,0.4117647058823529,1000.0
8,0.4583333333333333,0.506,0.48098859315589354,1000.0
9,0.40255905511811024,0.409,0.40575396825396826,1000.0
accuracy,0.3656,0.3656,0.3656,0.3656
macro avg,0.3638364752729543,0.3656,0.364299990706516,10000.0
weighted avg,0.3638364752729543,0.3656,0.3642999907065159,10000.0
