,precision,recall,f1-score,support
0,0.46459412780656306,0.269,0.3407219759341355,1000.0
1,0.45141065830721006,0.288,0.3516483516483517,1000.0
2,0.18081659105638367,0.279,0.21942587495084545,1000.0
3,0.1774406332453826,0.269,0.2138314785373609,1000.0
4,0.2144748455428067,0.243,0.22784810126582278,1000.0
5,0.22391084093211752,0.221,0.22244589833920483,1000.0
6,0.32158211521926056,0.374,0.34581599630143317,1000.0
7,0.2895377128953771,0.357,0.31974921630094044,1000.0
8,0.5258215962441315,0.336,0.4100061012812691,1000.0
9,0.5272407732864675,0.3,0.3824091778202677,1000.0
accuracy,0.2936,0.2936,0.2936,0.2936
macro avg,0.33768298945357006,0.29359999999999997,0.3033902172379632,10000.0
weighted avg,0.33768298945357,0.2936,0.3033902172379631,10000.0
