,precision,recall,f1-score,support
0,0.4023494860499266,0.548,0.4640135478408129,1000.0
1,0.3693181818181818,0.455,0.40770609318996415,1000.0
2,0.25144747725392885,0.304,0.2752376641014033,1000.0
3,0.2490566037735849,0.264,0.2563106796116505,1000.0
4,0.31832139201637666,0.311,0.3146181082448154,1000.0
5,0.3418013856812933,0.296,0.3172561629153269,1000.0
6,0.40898617511520735,0.355,0.38008565310492504,1000.0
7,0.423943661971831,0.301,0.352046783625731,1000.0
8,0.5478359908883826,0.481,0.5122470713525027,1000.0
9,0.45465393794749404,0.381,0.41458106637649617,1000.0
accuracy,0.3696,0.3696,0.3696,0.3696
macro avg,0.37677142925162066,0.3696,0.36941028303636286,10000.0
weighted avg,0.3767714292516207,0.3696,0.36941028303636275,10000.0
