,precision,recall,f1-score,support
0,0.3298872180451128,0.351,0.34011627906976744,1000.0
1,0.2774869109947644,0.265,0.2710997442455243,1000.0
2,0.20320855614973263,0.228,0.21489161168708765,1000.0
3,0.16825396825396827,0.159,0.16349614395886888,1000.0
4,0.21371769383697814,0.215,0.2143569292123629,1000.0
5,0.2278738555442523,0.224,0.2259203227433182,1000.0
6,0.28778467908902694,0.278,0.28280773143438453,1000.0
7,0.27079107505070993,0.267,0.2688821752265861,1000.0
8,0.3880157170923379,0.395,0.3914767096134787,1000.0
9,0.29528795811518327,0.282,0.2884910485933504,1000.0
accuracy,0.2664,0.2664,0.2664,0.2664
macro avg,0.2662307632172066,0.2664,0.26615386957847287,10000.0
weighted avg,0.2662307632172067,0.2664,0.2661538695784729,10000.0
