,precision,recall,f1-score,support
0,0.3942577030812325,0.563,0.46375617792421747,1000.0
1,0.36561743341404357,0.453,0.4046449307726664,1000.0
2,0.23952569169960475,0.303,0.2675496688741722,1000.0
3,0.23823529411764705,0.243,0.24059405940594059,1000.0
4,0.30010604453870626,0.283,0.29130211013896035,1000.0
5,0.32057416267942584,0.268,0.29193899782135074,1000.0
6,0.3997747747747748,0.355,0.3760593220338983,1000.0
7,0.4034090909090909,0.284,0.3333333333333333,1000.0
8,0.5515695067264574,0.492,0.5200845665961945,1000.0
9,0.4484076433121019,0.352,0.39439775910364144,1000.0
accuracy,0.3596,0.3596,0.3596,0.3596
macro avg,0.36614773452530847,0.3596,0.3583660926004375,10000.0
weighted avg,0.36614773452530847,0.3596,0.35836609260043745,10000.0
